Wall time,Step,Value
1524096499.762868,74001,0.49609375
1524096547.671498,74101,0.47216796875
1524096593.310899,74201,0.49609375
1524096638.969488,74301,0.47900390625
1524096684.897922,74401,0.47314453125
1524096730.545898,74501,0.4794921875
1524096776.393498,74601,0.494140625
1524096821.880434,74701,0.4765625
1524096960.86731,75001,0.4638671875
1524097006.606563,75101,0.466796875
1524097146.575885,75401,0.47119140625
1524097192.854107,75501,0.48828125
1524097238.681794,75601,0.47998046875
1524097330.453601,75801,0.46240234375
1524097421.712202,76001,0.4814453125
1524097516.531161,76201,0.4814453125
1524097607.914875,76401,0.4833984375
1524097698.480007,76601,0.4755859375
1524097746.663105,76701,0.50244140625
1524097792.023135,76801,0.48681640625
1524097882.757581,77001,0.47802734375
1524097928.126886,77101,0.4921875
1524097973.491962,77201,0.48876953125
1524098066.689201,77401,0.49169921875
1524098111.953028,77501,0.4853515625
1524098202.73632,77701,0.48095703125
1524098248.082092,77801,0.4697265625
1524098293.681906,77901,0.478515625
1524098386.735568,78101,0.4873046875
1524098432.271308,78201,0.470703125
1524098522.762698,78401,0.4599609375
1524098568.168867,78501,0.48486328125
1524098671.092678,78701,0.49658203125
1524098761.976444,78901,0.4609375
1524098807.236026,79001,0.48046875
1524098852.74301,79101,0.46875
1524098945.732874,79301,0.48486328125
1524099127.343482,79701,0.47216796875
1524099172.617844,79801,0.47265625
1524099217.929503,79901,0.4833984375
1524099311.521877,80101,0.4990234375
1524099356.819254,80201,0.47998046875
1524099402.342405,80301,0.4765625
1524099447.597088,80401,0.48876953125
1524099586.279925,80701,0.482421875
1524099676.97116,80901,0.4677734375
1524099722.248462,81001,0.4716796875
1524099767.538987,81101,0.49560546875
1524099812.893431,81201,0.47314453125
1524099860.801837,81301,0.4658203125
1524099906.083262,81401,0.47509765625
1524099951.543305,81501,0.47705078125
1524099996.831468,81601,0.4853515625
1524100087.828961,81801,0.4755859375
1524100133.105232,81901,0.4892578125
1524100181.094069,82001,0.4775390625
1524100226.654338,82101,0.4912109375
1524100271.949857,82201,0.470703125
1524100317.223892,82301,0.48974609375
1524100408.08236,82501,0.48388671875
1524100456.199595,82601,0.49560546875
1524100501.874729,82701,0.48583984375
1524100547.135663,82801,0.4873046875
1524100592.415926,82901,0.484375
1524100683.305479,83101,0.48779296875
1524100728.634446,83201,0.47119140625
1524100776.319071,83301,0.47900390625
1524100821.646251,83401,0.49267578125
1524100866.886,83501,0.46337890625
1524100912.334865,83601,0.5
1524100957.631294,83701,0.478515625
1524101096.594459,84001,0.48291015625
1524101141.858068,84101,0.47412109375
1524101187.477898,84201,0.5009765625
1524101232.766589,84301,0.474609375
1524101371.210477,84601,0.46337890625
1524101416.504173,84701,0.46728515625
1524101461.822919,84801,0.498046875
1524101507.118822,84901,0.48583984375
1524101552.380382,85001,0.478515625
1524101690.84368,85301,0.47802734375
1524101736.40099,85401,0.49072265625
1524101781.740793,85501,0.47509765625
1524101827.026464,85601,0.47509765625
1524101917.691282,85801,0.48291015625
1524101965.211891,85901,0.48193359375
1524102010.735105,86001,0.4794921875
1524102101.395477,86201,0.4853515625
1524102146.886551,86301,0.48974609375
1524102237.602275,86501,0.486328125
1524102285.714679,86601,0.48486328125
1524102331.010631,86701,0.4873046875
1524102376.353839,86801,0.4775390625
1524102421.874631,86901,0.47900390625
